2017-Jun-15 22:52:01.380868 Starting Circus
2017-Jun-15 22:52:01.384870 Ensuring database ../Data/capublic.db exists
2017-Jun-15 22:52:01.388873 Skipping database import 
2017-Jun-15 22:52:01.390875 Selecting all versions of all bills
2017-Jun-15 22:52:20.664363 All versions of all bills selected: 00:00:19.273488
2017-Jun-15 22:52:20.664363 Selecting most recent version of all bills
2017-Jun-15 22:59:49.831847 Most recent version of all bills selected: 00:07:29.167484
2017-Jun-15 23:00:16.863342 Selecting all unevaluated bill versions
2017-Jun-15 23:00:32.738915 Unevaluated bills selected: 00:00:15.875573
2017-Jun-15 23:00:41.824094 Starting Rankings
2017-Jun-15 23:00:43.605321 AB 2 Negative = 12, Positive = 20
2017-Jun-15 23:00:55.808541 AB 6 Negative = 8, Positive = 0
2017-Jun-15 23:01:02.371101 AB 7 Negative = 0, Positive = 20
2017-Jun-15 23:01:06.027401 AB 10 Negative = 28, Positive = 0
2017-Jun-15 23:01:32.058871 AB 14 Negative = 176, Positive = 21
2017-Jun-15 23:01:33.355759 AB 15 Negative = 20, Positive = 0
2017-Jun-15 23:01:37.887049 AB 17 Negative = 20, Positive = 0
2017-Jun-15 23:02:05.527984 AB 18 Negative = 196, Positive = 20
2017-Jun-15 23:02:14.199893 AB 19 Negative = 4, Positive = 0
2017-Jun-15 23:02:16.824912 AB 20 Negative = 3, Positive = 10
2017-Jun-15 23:02:20.668689 AB 21 Negative = 53, Positive = 12
2017-Jun-15 23:02:21.996839 AB 22 Negative = 0, Positive = 0
2017-Jun-15 23:02:23.887483 AB 23 Negative = 11, Positive = 10
2017-Jun-15 23:02:25.840624 AB 24 Negative = 0, Positive = 20
2017-Jun-15 23:02:27.121873 AB 26 Negative = 16, Positive = 0
2017-Jun-15 23:02:28.403168 AB 28 Negative = 7, Positive = 20
2017-Jun-15 23:02:32.418809 AB 29 Negative = 100, Positive = 0
2017-Jun-15 23:02:34.575079 AB 33 Negative = 0, Positive = 0
2017-Jun-15 23:02:40.465757 AB 34 Negative = 35, Positive = 0
2017-Jun-15 23:02:48.872073 AB 36 Negative = 7, Positive = 0
2017-Jun-15 23:02:52.122101 AB 37 Negative = 5, Positive = 0
2017-Jun-15 23:02:52.543981 AB 39 Negative = 0, Positive = 0
2017-Jun-15 23:03:00.450304 AB 40 Negative = 357, Positive = 10
2017-Jun-15 23:03:04.059711 AB 41 Negative = 60, Positive = 10
2017-Jun-15 23:03:07.028487 AB 43 Negative = 0, Positive = 20
2017-Jun-15 23:03:09.137886 AB 44 Negative = 33, Positive = 0
2017-Jun-15 23:03:13.856688 AB 45 Negative = 14, Positive = 10
2017-Jun-15 23:03:19.950492 AB 46 Negative = 36, Positive = 0
2017-Jun-15 23:03:31.513103 AB 48 Negative = 0, Positive = 20
2017-Jun-15 23:03:34.731877 AB 53 Negative = 0, Positive = 10
2017-Jun-15 23:03:43.091319 AB 56 Negative = 43, Positive = 0
2017-Jun-15 23:03:43.731979 AB 58 Negative = 0, Positive = 0
2017-Jun-15 23:03:45.763228 AB 62 Negative = 4, Positive = 0
2017-Jun-15 23:03:55.919570 AB 63 Negative = 43, Positive = 20
2017-Jun-15 23:04:09.263430 AB 64 Negative = 220, Positive = 0
2017-Jun-15 23:04:14.779123 AB 67 Negative = 71, Positive = 20
2017-Jun-15 23:05:27.092283 AB 71 Negative = 211, Positive = 10
2017-Jun-15 23:05:28.467279 AB 72 Negative = 0, Positive = 0
2017-Jun-15 23:05:59.061319 AB 73 Negative = 27, Positive = 0
2017-Jun-15 23:06:04.670746 AB 75 Negative = 26, Positive = 10
2017-Jun-15 23:06:05.045749 AB 76 Negative = 2, Positive = 0
2017-Jun-15 23:06:09.139524 AB 77 Negative = 0, Positive = 0
2017-Jun-15 23:06:11.702048 AB 78 Negative = 0, Positive = 20
2017-Jun-15 23:06:13.295823 AB 79 Negative = 0, Positive = 0
2017-Jun-15 23:06:15.905212 AB 80 Negative = 1, Positive = 0
2017-Jun-15 23:06:18.108388 AB 81 Negative = 14, Positive = 0
2017-Jun-15 23:06:18.889614 AB 82 Negative = 7, Positive = 0
2017-Jun-15 23:06:20.342752 AB 84 Negative = 0, Positive = 0
2017-Jun-15 23:06:26.092836 AB 86 Negative = 6, Positive = 0
2017-Jun-15 23:06:26.592818 AB 90 Negative = 3, Positive = 0
2017-Jun-15 23:06:28.405326 AB 91 Negative = 0, Positive = 0
2017-Jun-15 23:07:38.968485 AB 93 Negative = 5038, Positive = 50
2017-Jun-15 23:25:43.858897 AB 96 Negative = 1736, Positive = 321
2017-Jun-15 23:25:44.249525 AB 97 Negative = 0, Positive = 0
2017-Jun-15 23:25:44.608915 AB 98 Negative = 0, Positive = 0
2017-Jun-15 23:25:44.983908 AB 103 Negative = 0, Positive = 0
2017-Jun-15 23:25:45.358928 AB 107 Negative = 0, Positive = 0
2017-Jun-15 23:25:45.718289 AB 111 Negative = 0, Positive = 0
2017-Jun-15 23:25:46.124543 AB 115 Negative = 0, Positive = 0
2017-Jun-15 23:25:47.796446 AB 148 Negative = 56, Positive = 0
2017-Jun-15 23:25:56.796527 AB 151 Negative = 18, Positive = 0
2017-Jun-15 23:26:00.296564 AB 154 Negative = 867, Positive = 0
2017-Jun-15 23:26:01.749686 AB 155 Negative = 0, Positive = 0
2017-Jun-15 23:26:03.530968 AB 158 Negative = 0, Positive = 0
2017-Jun-15 23:26:04.093457 AB 162 Negative = 0, Positive = 0
2017-Jun-15 23:26:06.796618 AB 164 Negative = 62, Positive = 0
2017-Jun-15 23:26:07.343497 AB 165 Negative = 0, Positive = 0
2017-Jun-15 23:26:12.015416 AB 166 Negative = 76, Positive = 0
2017-Jun-15 23:26:13.827937 AB 167 Negative = 20, Positive = 0
2017-Jun-15 23:26:14.765429 AB 168 Negative = 0, Positive = 0
2017-Jun-15 23:26:18.406087 AB 169 Negative = 1, Positive = 0
2017-Jun-15 23:26:19.546723 AB 171 Negative = 3, Positive = 0
2017-Jun-15 23:26:20.890497 AB 172 Negative = 4, Positive = 0
2017-Jun-15 23:26:24.906147 AB 173 Negative = 28, Positive = 0
2017-Jun-15 23:26:26.656161 AB 175 Negative = 4, Positive = 0
2017-Jun-15 23:26:29.031185 AB 178 Negative = 0, Positive = 0
2017-Jun-15 23:26:31.874977 AB 179 Negative = 14, Positive = 0
2017-Jun-15 23:26:35.312502 AB 180 Negative = 21, Positive = 0
2017-Jun-15 23:26:40.765678 AB 181 Negative = 0, Positive = 13
2017-Jun-15 23:26:47.296976 AB 182 Negative = 124, Positive = 0
2017-Jun-15 23:26:47.859482 AB 183 Negative = 0, Positive = 0
2017-Jun-15 23:26:48.468873 AB 184 Negative = 0, Positive = 0
2017-Jun-15 23:27:03.672124 AB 185 Negative = 34, Positive = 10
2017-Jun-15 23:27:05.500279 AB 186 Negative = 21, Positive = 0
2017-Jun-15 23:27:10.515949 AB 187 Negative = 0, Positive = 20
2017-Jun-15 23:27:14.656599 AB 188 Negative = 10, Positive = 0
2017-Jun-15 23:27:19.922330 AB 189 Negative = 18, Positive = 0
2017-Jun-15 23:27:20.719156 AB 190 Negative = 0, Positive = 0
2017-Jun-15 23:27:23.750435 AB 192 Negative = 41, Positive = 0
2017-Jun-15 23:27:25.234821 AB 194 Negative = 0, Positive = 0
2017-Jun-15 23:27:27.047373 AB 198 Negative = 0, Positive = 11
2017-Jun-15 23:27:31.594255 AB 203 Negative = 0, Positive = 0
2017-Jun-15 23:27:39.938097 AB 204 Negative = 4, Positive = 0
2017-Jun-15 23:27:54.063209 AB 205 Negative = 201, Positive = 0
2017-Jun-15 23:27:56.266366 AB 209 Negative = 2, Positive = 0
2017-Jun-15 23:28:00.844537 AB 210 Negative = 133, Positive = 0
