2017-Jun-18 11:31:20.989803 Starting Circus
2017-Jun-18 11:31:20.993806 Ensuring database ../Data/capublic.db exists
2017-Jun-18 11:31:20.998809 	capublic_bill_tbl creation
2017-Jun-18 11:31:21.001811 	capublic_bill_tbl data fetch
2017-Jun-18 11:38:31.951389 	bill_tbl has 2866 rows.
2017-Jun-18 11:38:31.956393 	Insert run time: 00:07:10.950580
2017-Jun-18 11:38:31.959395 	capublic_bill_history_tbl creation
2017-Jun-18 11:38:31.961397 	capublic_bill_history_tbl data fetch
2017-Jun-18 12:37:55.063345 	bill_history_tbl has 29778 rows.
2017-Jun-18 12:37:55.066347 	Insert run time: 00:59:23.104950
2017-Jun-18 12:37:55.069348 	capublic_bill_version_tbl creation
2017-Jun-18 12:37:55.071350 Filling Bill Version Table
2017-Jun-18 12:37:55.073351 	capublic_bill_version_tbl data fetch
2017-Jun-18 12:37:55.262502 201720180SCR3 is OK.
2017-Jun-18 12:37:55.342543 201720180SJR1 is OK.
2017-Jun-18 12:37:55.437608 201720180SJR2 is OK.
2017-Jun-18 12:37:55.590718 201720180SR1 is OK.
2017-Jun-18 12:37:55.683800 201720180SR2 is OK.
2017-Jun-18 12:37:55.778853 201720180AB42 is OK.
2017-Jun-18 12:37:55.867930 201720180AB35 is OK.
2017-Jun-18 12:37:55.953973 201720180AB38 is OK.
2017-Jun-18 12:37:56.054045 201720180AB34 is OK.
2017-Jun-18 12:37:56.171145 201720180AB36 is OK.
2017-Jun-18 12:37:56.296216 201720180AB37 is OK.
2017-Jun-18 12:37:56.424306 201720180AB39 is OK.
2017-Jun-18 12:37:56.555399 201720180AB40 is OK.
2017-Jun-18 12:37:56.693496 201720180AB41 is OK.
2017-Jun-18 12:37:56.798570 201720180AB43 is OK.
2017-Jun-18 12:37:56.879628 201720180AB44 is OK.
2017-Jun-18 12:37:56.976697 201720180AB45 is OK.
2017-Jun-18 12:37:57.062757 201720180AB47 is OK.
2017-Jun-18 12:37:57.160827 201720180SB2 is OK.
2017-Jun-18 12:37:57.245887 201720180SB9 is OK.
2017-Jun-18 12:37:57.325944 201720180SB16 is OK.
2017-Jun-18 12:37:57.421011 201720180SB17 is OK.
2017-Jun-18 12:37:57.521081 201720180SB26 is OK.
2017-Jun-18 12:37:57.627157 201720180SB27 is OK.
2017-Jun-18 12:37:57.798278 201720180SB28 is OK.
2017-Jun-18 12:37:57.888358 201720180SB29 is OK.
2017-Jun-18 12:37:58.009425 201720180SB30 is OK.
2017-Jun-18 12:37:58.145522 201720180SB31 is OK.
2017-Jun-18 12:37:58.251597 201720180SB32 is OK.
2017-Jun-18 12:37:58.346664 201720180SB33 is OK.
2017-Jun-18 12:37:58.451738 201720180SB34 is OK.
2017-Jun-18 12:37:58.571824 201720180SB35 is OK.
2017-Jun-18 12:37:58.662888 201720180SB45 is OK.
2017-Jun-18 12:37:58.768979 201720180SB46 is OK.
2017-Jun-18 12:37:58.863030 201720180SB47 is OK.
2017-Jun-18 12:37:59.021141 201720180SB48 is OK.
2017-Jun-18 12:37:59.110203 201720180SB8 is OK.
2017-Jun-18 12:37:59.213276 201720180SB36 is OK.
2017-Jun-18 12:37:59.310358 201720180SB37 is OK.
2017-Jun-18 12:37:59.513488 201720180SB38 is OK.
2017-Jun-18 12:37:59.626568 201720180SB39 is OK.
2017-Jun-18 12:37:59.730642 201720180SB40 is OK.
2017-Jun-18 12:37:59.826711 201720180SB41 is OK.
2017-Jun-18 12:37:59.996830 201720180SB42 is OK.
2017-Jun-18 12:38:00.121935 201720180SB43 is OK.
