2017-Jun-24 06:53:34.220908 Starting Circus
2017-Jun-24 06:53:34.223910 Initializing database
2017-Jun-24 06:53:34.225912 Ensuring database ../Data/capublic.db exists
2017-Jun-24 06:53:34.229916 	capublic_bill_tbl creation
2017-Jun-24 06:53:34.232917 	capublic_bill_tbl data fetch
2017-Jun-24 06:59:19.498348 	bill_tbl has 2872 rows.
2017-Jun-24 06:59:19.501350 	Insert run time: 00:05:45.265432
2017-Jun-24 06:59:19.503352 	capublic_bill_history_tbl creation
2017-Jun-24 06:59:19.505353 	capublic_bill_history_tbl data fetch
2017-Jun-24 07:44:42.162538 	bill_history_tbl has 30639 rows.
2017-Jun-24 07:44:42.164540 	Insert run time: 00:45:22.658186
2017-Jun-24 07:44:42.167543 	capublic_bill_version_tbl creation
2017-Jun-24 07:44:42.169543 Filling Bill Version Table
2017-Jun-24 07:44:42.170544 	capublic_bill_version_tbl data fetch
2017-Jun-24 07:44:42.370685 201720180SCR3 is OK.
2017-Jun-24 07:44:42.474775 201720180SJR1 is OK.
2017-Jun-24 07:44:42.546809 201720180SJR2 is OK.
2017-Jun-24 07:44:42.632871 201720180SR1 is OK.
2017-Jun-24 07:44:42.695915 201720180SR2 is OK.
2017-Jun-24 07:44:42.771969 201720180AB42 is OK.
2017-Jun-24 07:44:42.914069 201720180AB35 is OK.
2017-Jun-24 07:44:42.987120 201720180AB38 is OK.
2017-Jun-24 07:44:43.071179 201720180AB34 is OK.
2017-Jun-24 07:44:43.150236 201720180AB36 is OK.
2017-Jun-24 07:44:43.221286 201720180AB37 is OK.
2017-Jun-24 07:44:43.287332 201720180AB39 is OK.
2017-Jun-24 07:44:43.417442 201720180AB40 is OK.
2017-Jun-24 07:44:43.479486 201720180AB41 is OK.
2017-Jun-24 07:44:43.572535 201720180AB43 is OK.
2017-Jun-24 07:44:43.637580 201720180AB44 is OK.
2017-Jun-24 07:44:43.705629 201720180AB45 is OK.
2017-Jun-24 07:44:43.786686 201720180AB47 is OK.
2017-Jun-24 07:44:43.865743 201720180SB2 is OK.
2017-Jun-24 07:44:43.955823 201720180SB9 is OK.
2017-Jun-24 07:44:44.046882 201720180SB16 is OK.
2017-Jun-24 07:44:44.143940 201720180SB17 is OK.
2017-Jun-24 07:44:44.253033 201720180SB26 is OK.
2017-Jun-24 07:44:44.321064 201720180SB27 is OK.
2017-Jun-24 07:44:44.463165 201720180SB28 is OK.
2017-Jun-24 07:44:44.553229 201720180SB29 is OK.
2017-Jun-24 07:44:44.621276 201720180SB30 is OK.
2017-Jun-24 07:44:44.719346 201720180SB31 is OK.
2017-Jun-24 07:44:44.785392 201720180SB32 is OK.
2017-Jun-24 07:44:44.894488 201720180SB33 is OK.
2017-Jun-24 07:44:45.003546 201720180SB34 is OK.
2017-Jun-24 07:44:45.116644 201720180SB35 is OK.
2017-Jun-24 07:44:45.227706 201720180SB45 is OK.
2017-Jun-24 07:44:45.344799 201720180SB46 is OK.
2017-Jun-24 07:44:45.444874 201720180SB47 is OK.
2017-Jun-24 07:44:45.510906 201720180SB48 is OK.
2017-Jun-24 07:44:45.577970 201720180SB8 is OK.
2017-Jun-24 07:44:45.655024 201720180SB36 is OK.
2017-Jun-24 07:44:45.714064 201720180SB37 is OK.
2017-Jun-24 07:44:45.821141 201720180SB38 is OK.
2017-Jun-24 07:44:45.897196 201720180SB39 is OK.
2017-Jun-24 07:44:45.970231 201720180SB40 is OK.
2017-Jun-24 07:44:46.044283 201720180SB41 is OK.
2017-Jun-24 07:44:46.111331 201720180SB42 is OK.
2017-Jun-24 07:44:46.187384 201720180SB43 is OK.
2017-Jun-24 07:44:46.328483 201720180SB44 is OK.
2017-Jun-24 07:44:46.444565 201720180SB49 is OK.
2017-Jun-24 07:44:46.535631 201720180SB50 is OK.
2017-Jun-24 07:44:46.670742 201720180SB51 is OK.
2017-Jun-24 07:44:46.744779 201720180SB52 is OK.
2017-Jun-24 07:44:46.855857 201720180SB53 is OK.
2017-Jun-24 07:44:46.921903 201720180SB55 is OK.
2017-Jun-24 07:44:47.011983 201720180SB56 is OK.
2017-Jun-24 07:44:47.080014 201720180SCA1 is OK.
2017-Jun-24 07:44:47.153066 201720180SB7 is OK.
2017-Jun-24 07:44:47.228121 201720180SCR1 is OK.
2017-Jun-24 07:44:47.369220 201720180SR4 is OK.
2017-Jun-24 07:44:47.492316 201720180SR5 is OK.
2017-Jun-24 07:44:47.561355 201720180SR6 is OK.
2017-Jun-24 07:44:47.636425 201720180SR8 is OK.
2017-Jun-24 07:44:47.745486 201720180ACR3 is OK.
2017-Jun-24 07:44:47.821594 201720180SB4 is OK.
2017-Jun-24 07:44:47.902809 201720180SR3 is OK.
2017-Jun-24 07:44:47.970342 201720180SB24 is OK.
2017-Jun-24 07:44:48.045395 201720180HR4 is OK.
2017-Jun-24 07:44:48.138445 201720180AB57 is OK.
2017-Jun-24 07:44:48.259714 201720180AB59 is OK.
2017-Jun-24 07:44:48.336757 201720180AB56 is OK.
2017-Jun-24 07:44:48.445816 201720180AB3 is OK.
2017-Jun-24 07:44:48.529876 201720180AB4 is OK.
2017-Jun-24 07:44:48.619940 201720180AB5 is OK.
2017-Jun-24 07:44:48.686987 201720180AB6 is OK.
2017-Jun-24 07:44:48.756036 201720180AB7 is OK.
2017-Jun-24 07:44:48.854105 201720180AB8 is OK.
2017-Jun-24 07:44:48.922155 201720180SB283 is OK.
2017-Jun-24 07:44:49.004211 201720180AB10 is OK.
2017-Jun-24 07:44:49.103282 201720180AB11 is OK.
2017-Jun-24 07:44:49.220364 201720180SB68 is OK.
2017-Jun-24 07:44:49.305425 201720180AB25 is OK.
2017-Jun-24 07:44:49.403494 201720180AB26 is OK.
2017-Jun-24 07:44:49.470542 201720180AB27 is OK.
2017-Jun-24 07:44:49.530585 201720180AB296 is OK.
2017-Jun-24 07:44:49.611642 201720180AB29 is OK.
2017-Jun-24 07:44:49.687695 201720180AB30 is OK.
2017-Jun-24 07:44:49.754742 201720180AB31 is OK.
2017-Jun-24 07:44:49.829795 201720180AB48 is OK.
2017-Jun-24 07:44:49.986906 201720180AB49 is OK.
2017-Jun-24 07:44:50.053954 201720180AB50 is OK.
2017-Jun-24 07:44:50.151024 201720180AB51 is OK.
2017-Jun-24 07:44:50.220072 201720180AB52 is OK.
2017-Jun-24 07:44:50.359170 201720180AB1094 is OK.
2017-Jun-24 07:44:50.420213 201720180AB54 is OK.
2017-Jun-24 07:44:50.529290 201720180AB55 is OK.
2017-Jun-24 07:44:50.671391 201720180AB502 is OK.
2017-Jun-24 07:44:50.737437 201720180ACR1 is OK.
2017-Jun-24 07:44:50.829520 201720180AJR1 is OK.
2017-Jun-24 07:44:50.903554 201720180AJR2 is OK.
2017-Jun-24 07:44:50.980610 201720180AB950 is OK.
2017-Jun-24 07:44:51.045655 201720180AB274 is OK.
2017-Jun-24 07:44:51.139722 201720180SB1 is OK.
2017-Jun-24 07:44:51.255805 201720180SB6 is OK.
2017-Jun-24 07:44:51.322868 201720180SB10 is OK.
2017-Jun-24 07:44:51.403923 201720180SB11 is OK.
2017-Jun-24 07:44:51.475959 201720180SB5 is OK.
2017-Jun-24 07:44:51.540005 201720180SB12 is OK.
2017-Jun-24 07:44:51.613057 201720180SB13 is OK.
2017-Jun-24 07:44:51.729139 201720180SB14 is OK.
2017-Jun-24 07:44:51.838215 201720180SB15 is OK.
2017-Jun-24 07:44:51.934284 201720180SB18 is OK.
2017-Jun-24 07:44:52.013356 201720180SB19 is OK.
2017-Jun-24 07:44:52.103402 201720180AB1 is OK.
2017-Jun-24 07:44:52.224488 201720180HR1 is OK.
2017-Jun-24 07:44:52.296539 201720180HR4 is OK.
2017-Jun-24 07:44:52.370591 201720180HR2 is OK.
2017-Jun-24 07:44:52.450648 201720180HR3 is OK.
2017-Jun-24 07:44:52.528703 201720180AB2 is OK.
2017-Jun-24 07:44:52.603757 201720180AB13 is OK.
2017-Jun-24 07:44:52.675807 201720180AB14 is OK.
2017-Jun-24 07:44:52.753864 201720180AB15 is OK.
2017-Jun-24 07:44:52.820912 201720180AB16 is OK.
2017-Jun-24 07:44:52.912976 201720180AB17 is OK.
2017-Jun-24 07:44:52.987028 201720180AB18 is OK.
2017-Jun-24 07:44:53.048072 201720180SB20 is OK.
2017-Jun-24 07:44:53.146142 201720180SR7 is OK.
2017-Jun-24 07:44:53.230201 201720180AB19 is OK.
2017-Jun-24 07:44:53.298248 201720180SB21 is OK.
2017-Jun-24 07:44:53.413329 201720180SB22 is OK.
2017-Jun-24 07:44:53.480376 201720180SB23 is OK.
2017-Jun-24 07:44:53.564437 201720180SB25 is OK.
2017-Jun-24 07:44:53.646494 201720180AB20 is OK.
2017-Jun-24 07:44:53.721547 201720180AB21 is OK.
2017-Jun-24 07:44:53.814613 201720180AB22 is OK.
2017-Jun-24 07:44:53.881667 201720180AB23 is OK.
2017-Jun-24 07:44:53.954712 201720180AB24 is OK.
2017-Jun-24 07:44:54.095812 201720180AB32 is OK.
2017-Jun-24 07:44:54.187885 201720180AB33 is OK.
2017-Jun-24 07:44:54.262930 201720180SR10 is OK.
2017-Jun-24 07:44:54.339985 201720180SB59 is OK.
2017-Jun-24 07:44:54.449062 201720180SB58 is OK.
2017-Jun-24 07:44:54.529119 201720180AB65 is OK.
2017-Jun-24 07:44:54.600168 201720180AB64 is OK.
2017-Jun-24 07:44:54.696236 201720180AB81 is OK.
2017-Jun-24 07:44:54.821325 201720180SB60 is OK.
2017-Jun-24 07:44:54.930402 201720180SB61 is OK.
2017-Jun-24 07:44:55.012461 201720180AB161 is OK.
2017-Jun-24 07:44:55.081509 201720180ACR9 is OK.
2017-Jun-24 07:44:55.185583 201720180AB162 is OK.
2017-Jun-24 07:44:55.262638 201720180AB163 is OK.
2017-Jun-24 07:44:55.329684 201720180AB164 is OK.
2017-Jun-24 07:44:55.403737 201720180AB165 is OK.
2017-Jun-24 07:44:55.479790 201720180AB166 is OK.
2017-Jun-24 07:44:55.556846 201720180SB57 is OK.
2017-Jun-24 07:44:55.645908 201720180AB62 is OK.
2017-Jun-24 07:44:55.714958 201720180SB100 is OK.
2017-Jun-24 07:44:55.796611 201720180SB85 is OK.
2017-Jun-24 07:44:55.928706 201720180SB86 is OK.
2017-Jun-24 07:44:55.995962 201720180SB101 is OK.
2017-Jun-24 07:44:56.077019 201720180SB87 is OK.
2017-Jun-24 07:44:56.149089 201720180SB88 is OK.
2017-Jun-24 07:44:56.215117 201720180SB102 is OK.
2017-Jun-24 07:44:56.298177 201720180SB89 is OK.
2017-Jun-24 07:44:56.379233 201720180SB118 is OK.
2017-Jun-24 07:44:56.448283 201720180SB90 is OK.
2017-Jun-24 07:44:56.521334 201720180SB91 is OK.
2017-Jun-24 07:44:56.605394 201720180SB103 is OK.
2017-Jun-24 07:44:56.670457 201720180SB119 is OK.
2017-Jun-24 07:44:56.746493 201720180SB92 is OK.
2017-Jun-24 07:44:56.829553 201720180SB104 is OK.
2017-Jun-24 07:44:56.896599 201720180SB93 is OK.
2017-Jun-24 07:44:56.971652 201720180SB120 is OK.
2017-Jun-24 07:44:57.045705 201720180SB94 is OK.
2017-Jun-24 07:44:57.115754 201720180AB503 is OK.
2017-Jun-24 07:44:57.198812 201720180AB758 is OK.
2017-Jun-24 07:44:57.265860 201720180AB495 is OK.
2017-Jun-24 07:44:57.376939 201720180SB79 is OK.
2017-Jun-24 07:44:57.472006 201720180AB90 is OK.
2017-Jun-24 07:44:57.547059 201720180AB91 is OK.
2017-Jun-24 07:44:57.656136 201720180AB92 is OK.
2017-Jun-24 07:44:57.808244 201720180AB93 is OK.
2017-Jun-24 07:44:57.888301 201720180SB70 is OK.
2017-Jun-24 07:44:57.991373 201720180SB71 is OK.
2017-Jun-24 07:44:58.096447 201720180SR12 is OK.
2017-Jun-24 07:44:58.171511 201720180SB78 is OK.
2017-Jun-24 07:44:58.258562 201720180SB80 is OK.
2017-Jun-24 07:44:58.346642 201720180SB81 is OK.
2017-Jun-24 07:44:58.413672 201720180AB95 is OK.
2017-Jun-24 07:44:58.497732 201720180SB121 is OK.
2017-Jun-24 07:44:58.620819 201720180SB95 is OK.
2017-Jun-24 07:44:58.712884 201720180SB96 is OK.
2017-Jun-24 07:44:58.787937 201720180SB97 is OK.
2017-Jun-24 07:44:58.872013 201720180SB98 is OK.
2017-Jun-24 07:44:58.965062 201720180SB122 is OK.
2017-Jun-24 07:44:59.046120 201720180SB99 is OK.
2017-Jun-24 07:44:59.113182 201720180SB105 is OK.
2017-Jun-24 07:44:59.240256 201720180SB123 is OK.
2017-Jun-24 07:44:59.355338 201720180SB124 is OK.
2017-Jun-24 07:44:59.471420 201720180SB106 is OK.
2017-Jun-24 07:44:59.546474 201720180SB107 is OK.
2017-Jun-24 07:44:59.654549 201720180SB125 is OK.
2017-Jun-24 07:44:59.730603 201720180SB108 is OK.
2017-Jun-24 07:44:59.838680 201720180SB109 is OK.
2017-Jun-24 07:44:59.913734 201720180SB126 is OK.
2017-Jun-24 07:44:59.988786 201720180SB111 is OK.
2017-Jun-24 07:45:00.074847 201720180SB112 is OK.
2017-Jun-24 07:45:00.155904 201720180SB127 is OK.
2017-Jun-24 07:45:00.229956 201720180SB114 is OK.
2017-Jun-24 07:45:00.314016 201720180SB128 is OK.
2017-Jun-24 07:45:00.415087 201720180SB115 is OK.
2017-Jun-24 07:45:00.497145 201720180SB116 is OK.
2017-Jun-24 07:45:00.592212 201720180AB177 is OK.
2017-Jun-24 07:45:00.672269 201720180SCR5 is OK.
2017-Jun-24 07:45:00.789352 201720180AB178 is OK.
2017-Jun-24 07:45:00.872428 201720180SB113 is OK.
2017-Jun-24 07:45:00.930451 201720180SB110 is OK.
2017-Jun-24 07:45:01.003503 201720180AB179 is OK.
2017-Jun-24 07:45:01.072552 201720180AB180 is OK.
2017-Jun-24 07:45:01.148606 201720180SB809 is OK.
2017-Jun-24 07:45:01.222658 201720180ACA2 is OK.
2017-Jun-24 07:45:01.298712 201720180AB204 is OK.
2017-Jun-24 07:45:01.371763 201720180ACR12 is OK.
2017-Jun-24 07:45:01.448818 201720180SB810 is OK.
2017-Jun-24 07:45:01.609932 201720180SB149 is OK.
2017-Jun-24 07:45:01.706000 201720180SB150 is OK.
2017-Jun-24 07:45:01.789059 201720180SB133 is OK.
2017-Jun-24 07:45:01.853105 201720180SB134 is OK.
2017-Jun-24 07:45:01.955176 201720180SB135 is OK.
2017-Jun-24 07:45:02.091272 201720180AB72 is OK.
2017-Jun-24 07:45:02.172330 201720180AB70 is OK.
2017-Jun-24 07:45:02.280406 201720180SB358 is OK.
2017-Jun-24 07:45:02.389483 201720180SB359 is OK.
2017-Jun-24 07:45:02.555601 201720180SR11 is OK.
2017-Jun-24 07:45:02.674685 201720180AB69 is OK.
2017-Jun-24 07:45:02.789766 201720180SB360 is OK.
2017-Jun-24 07:45:02.938872 201720180AB79 is OK.
2017-Jun-24 07:45:03.038943 201720180AB80 is OK.
2017-Jun-24 07:45:03.096985 201720180AB76 is OK.
2017-Jun-24 07:45:03.172036 201720180AB77 is OK.
2017-Jun-24 07:45:03.258097 201720180AB78 is OK.
2017-Jun-24 07:45:03.330987 201720180SB361 is OK.
2017-Jun-24 07:45:03.439599 201720180ACR5 is OK.
2017-Jun-24 07:45:03.539646 201720180SCR9 is OK.
2017-Jun-24 07:45:03.606711 201720180SCR10 is OK.
2017-Jun-24 07:45:03.692756 201720180SCR11 is OK.
2017-Jun-24 07:45:03.815129 201720180SB362 is OK.
2017-Jun-24 07:45:03.898187 201720180SCR12 is OK.
2017-Jun-24 07:45:03.958247 201720180SCR13 is OK.
2017-Jun-24 07:45:04.056299 201720180SCR14 is OK.
2017-Jun-24 07:45:04.147381 201720180ACR6 is OK.
2017-Jun-24 07:45:04.217430 201720180SJR3 is OK.
2017-Jun-24 07:45:04.289463 201720180SR11 is OK.
2017-Jun-24 07:45:04.355510 201720180AB98 is OK.
2017-Jun-24 07:45:04.424559 201720180AB99 is OK.
2017-Jun-24 07:45:04.497611 201720180AB129 is OK.
2017-Jun-24 07:45:04.580670 201720180AB100 is OK.
2017-Jun-24 07:45:04.647717 201720180AB130 is OK.
2017-Jun-24 07:45:04.742801 201720180AB131 is OK.
2017-Jun-24 07:45:04.822857 201720180AB101 is OK.
2017-Jun-24 07:45:04.889900 201720180AB136 is OK.
2017-Jun-24 07:45:04.963940 201720180AB108 is OK.
2017-Jun-24 07:45:05.030987 201720180AB137 is OK.
2017-Jun-24 07:45:05.139064 201720180AB109 is OK.
2017-Jun-24 07:45:05.220122 201720180AB138 is OK.
2017-Jun-24 07:45:05.320192 201720180AB139 is OK.
2017-Jun-24 07:45:05.414260 201720180AB140 is OK.
2017-Jun-24 07:45:05.530342 201720180AB116 is OK.
2017-Jun-24 07:45:05.599391 201720180AB117 is OK.
2017-Jun-24 07:45:05.759503 201720180AB118 is OK.
2017-Jun-24 07:45:05.852586 201720180AB119 is OK.
2017-Jun-24 07:45:05.956655 201720180AB120 is OK.
2017-Jun-24 07:45:06.030694 201720180AB121 is OK.
2017-Jun-24 07:45:06.368939 201720180AB96 is OK.
2017-Jun-24 07:45:06.716179 201720180SB72 is OK.
2017-Jun-24 07:45:06.856278 201720180SB73 is OK.
2017-Jun-24 07:45:06.940356 201720180SB74 is OK.
2017-Jun-24 07:45:07.000398 201720180SB75 is OK.
2017-Jun-24 07:45:07.073433 201720180SB76 is OK.
2017-Jun-24 07:45:07.141480 201720180AB122 is OK.
2017-Jun-24 07:45:07.239549 201720180AB123 is OK.
2017-Jun-24 07:45:07.314602 201720180SB77 is OK.
2017-Jun-24 07:45:07.396661 201720180AB124 is OK.
2017-Jun-24 07:45:07.465709 201720180SCR15 is OK.
2017-Jun-24 07:45:07.565781 201720180AB125 is OK.
2017-Jun-24 07:45:07.649840 201720180AB126 is OK.
2017-Jun-24 07:45:07.756915 201720180AB127 is OK.
2017-Jun-24 07:45:07.855985 201720180AB97 is OK.
2017-Jun-24 07:45:07.932039 201720180AB128 is OK.
2017-Jun-24 07:45:07.998086 201720180AB102 is OK.
